ID;Original_Species;Actual_Species;Abundance
16;Hylaeamys oniscus;Hylaeamys oniscus;1
16;Micoureus demerarae;Marmosa demerarae;3
16;Oecomys bahiensis;Oecomys catherinae;1
16;Rhipidomys mastacalis;Rhipidomys mastacalis;2
17;Akodon sp.;Akodon sp.;10
17;Didelphis marsupialis;Didelphis aurita;8
17;Gracilinanus sp.;Gracilinanus sp.;8
17;Micoureus cinereus;Marmosa demerarae;40
17;Marmosops sp.;Marmosops incanus;21
17;Metachirus nudicaudatus;Metachirus nudicaudatus;6
17;Oxymycterus sp ;Oxymycterus sp.;9
17;Rhipidomys sp.;Rhipidomys mastacalis;12
17;Proechimys trinomys;Trinomys sp.;49
18;Akodon cursor;Akodon cursor;17
18;Cerradomys vivoi;Cerradomys vivoi;16
18;Gracilinanus microtarsus;Gracilinanus microtarsus;2
18;Marmosops incanus;Marmosops incanus;43
18;Necromys lasiurus;Necromys lasiurus;2
18;Oligoryzomys fornesi;Oligoryzomys fornesi;6
18;Oligoryzomys nigripes;Oligoryzomys nigripes;3
18;Oligoryzomys rupestris;Oligoryzomys rupestris;1
18;Rhipidomys sp.;Rhipidomys sp.;1
18;Thrichomys inermis;Thrichomys inermis;20
19;Cerradomys vivoi;Cerradomys vivoi;2
19;Kerodon rupestris;Kerodon rupestris;3
19;Oligoryzomys nigripes;Oligoryzomys nigripes;2
19;Thrichomys apereoides;Thrichomys apereoides;38
20;Akodon cursor;Akodon cursor;4
20;Didelphis aurita;Didelphis aurita;9
20;Gracilinanus microtarsus;Gracilinanus microtarsus;3
20;Marmosa murina;Marmosa murina;7
20;Micoureus paraguayanus ;Marmosa paraguayana;5
20;Marmosops incanus;Marmosops incanus;23
20;Metachirus nudicaudatus;Metachirus nudicaudatus;14
20;Monodelphis americana;Monodelphis americana;3
20;Oligoryzomys sp.;Oligoryzomys sp.;2
20;Rhipidomys sp.;Rhipidomys sp.;1
20;Trinomys albispinus;Trinomys albispinus;12
20;Trinomys setosus;Trinomys setosus;10
21;Gracilinanus microtarsus;Gracilinanus microtarsus;4
21;Marmosops incanus;Marmosops incanus;4
21;Nectomys squamipes;Nectomys squamipes;2
21;Oxymycterus dasytrichus;Oxymycterus dasytrichus;1
21;Trinomys setosus;Trinomys setosus;7
22;Akodon cursor;Akodon cursor;33
22;Cerradomys vivoi;Cerradomys vivoi;2
22;Didelphis aurita;Didelphis aurita;6
22;Euryoryzomys russatus;Euryoryzomys russatus;2
22;Hylaeamys laticeps;Hylaeamys seuanezi;13
22;Marmosa murina;Marmosa murina;11
22;Micoureus paraguayanus;Marmosa paraguayana;1
22;Marmosops incanus;Marmosops incanus;23
22;Metachirus nudicaudatus;Metachirus nudicaudatus;3
22;Monodelphis americana;Monodelphis americana;7
22;Necromys lasiurus;Necromys lasiurus;1
22;Oecomys catherinae;Oecomys catherinae;2
22;Oxymycterus dasytrichus;Oxymycterus dasytrichus;10
22;Rhipidomys mastacalis;Rhipidomys mastacalis;1
23;Akodon cursor;Akodon cursor;15
23;Didelphis aurita;Didelphis aurita;33
23;Euryoryzomys russatus;Euryoryzomys russatus;33
23;Gracilinanus sp.;Gracilinanus sp.;7
23;Hylaeamys laticeps;Hylaeamys seuanezi;28
23;Marmosa murina;Marmosa murina;1
23;Marmosa paraguayana;Marmosa paraguayana;3
23;Marmosops incanus;Marmosops incanus;9
23;Metachirus nudicaudatus;Metachirus nudicaudatus;34
23;Monodelphis americana;Monodelphis americana;22
23;Nectomys squamipes;Nectomys squamipes;8
23;Oecomys catherinae;Oecomys catherinae;5
23;Oligoryzomys nigripes;Oligoryzomys nigripes;17
23;Oxymycterus sp.;Oxymycterus sp.;9
23;Rhipidomys mastacalis;Rhipidomys mastacalis;3
24;Akodon cursor;Akodon cursor;2
24;Didelphis albiventris;Didelphis albiventris;1
24;Didelphis aurita;Didelphis aurita;15
24;Euryoryzomys russatus;Euryoryzomys russatus;8
24;Gracilinanus sp.;Gracilinanus sp.;2
24;Hylaeamys laticeps;Hylaeamys seuanezi;12
24;Marmosa murina;Marmosa murina;1
24;Marmosa paraguayana;Marmosa paraguayana;1
24;Marmosops incanus;Marmosops incanus;2
24;Metachirus nudicaudatus;Metachirus nudicaudatus;19
24;Monodelphis americana;Monodelphis americana;10
24;Oligoryzomys nigripes;Oligoryzomys nigripes;9
24;Oxymycterus sp.;Oxymycterus sp.;15
24;Rhipidomys mastacalis;Rhipidomys mastacalis;1
25;Akodon arviculoides;Akodon cursor;186
25;Isothrix picta;Callistomys pictus;1
25;Didelphis marsupialis;Didelphis aurita;76
25;Oryzomys sp.;Euryoryzomys russatus;106
25;Marmosa agilis;Gracilinanus agilis;9
25;Oryzomys oniscus;Hylaeamys seuanezi;170
25;Marmosa murina;Marmosa murina;98
25;Marmosa cinerea;Marmosa paraguayana;95
25;Marmosa incana;Marmosops incanus;121
25;Metachirus nudicaudatus;Metachirus nudicaudatus;62
25;Monodelphis americana;Monodelphis americana;6
25;Nectomys squamipes;Nectomys squamipes;161
25;Oecomys cinnamomeus;Oecomys catherinae;13
25;Oryzomys eliurus;Oligoryzomys nigripes;169
25;Phyllomys blainvillei/brasiliensis;Phyllomys pattoni;2
25;Rattus rattus;Rattus rattus;2
25;Rhipidomys maculipes;Rhipidomys mastacalis;36
25;Guerlinguetus ingrami;Sciurus aestuans;3
25;Akodon nigrita;Thaptomys nigrita;60
25;Proechimys setosus;Trinomys setosus;1
26;Akodon cursor;Akodon cursor;4
26;Didelphis aurita;Didelphis aurita;2
26;Euryoryzomys russatus;Euryoryzomys russatus;3
26;Gracilinanus agilis;Gracilinanus agilis;1
26;Hylaeamys laticeps;Hylaeamys seuanezi;20
26;Marmosa murina;Marmosa murina;2
26;Nectomys squamipes;Nectomys squamipes;13
26;Oligoryzomys nigripes;Oligoryzomys nigripes;9
26;Rhipidomys mastacalis;Rhipidomys mastacalis;64
27;Akodon cursor;Akodon cursor;1
27;Marmosa murina;Marmosa murina;8
27;Metachirus nudicaudatus;Metachirus nudicaudatus;2
27;Philander opossum;Philander frenatus;2
27;Rattus rattus;Rattus rattus;10
28;Akodon arviculoides;Akodon cursor;11
28;Blarinomys breviceps;Blarinomys breviceps;5
28;Didelphis marsupialis;Didelphis aurita;156
28;Oryzomys sp.;Euryoryzomys russatus;146
28;Marmosa agilis;Gracilinanus agilis;16
28;Oryzomys oniscus;Hylaeamys seuanezi;700
28;Marmosa murina;Marmosa murina;26
28;Marmosa cinerea;Marmosa paraguayana;61
28;Marmosa incana;Marmosops incanus;6
28;Metachirus nudicaudatus;Metachirus nudicaudatus;206
28;Monodelphis americana;Monodelphis americana;10
28;Nectomys squamipes;Nectomys squamipes;146
28;Oecomys cinnamomeus;Oecomys catherinae;3
28;Oryzomys eliurus;Oligoryzomys nigripes;10
28;Metachirops opossum;Philander frenatus;1
28;Phyllomys blainvillei/brasiliensis;Phyllomys pattoni;8
28;Rattus rattus;Rattus rattus;7
28;Rhipidomys maculipes;Rhipidomys mastacalis;11
28;Guerlinguetus ingrami;Sciurus aestuans;12
28;Akodon nigrita;Thaptomys nigrita;192
28;Proechimys setosus;Trinomys setosus;33
29;Akodon cursor;Akodon cursor;96
29;Blarinomys breviceps;Blarinomys breviceps;19
29;Oryzomys subflavus;Cerradomys subflavus;9
29;Didelphis aurita;Didelphis aurita;11
29;Oryzomys russatus;Euryoryzomys russatus;14
29;Gracilinanus microtarsus;Gracilinanus microtarsus;4
29;Oryzomys laticeps;Hylaeamys seuanezi;338
29;Micoureus demerarae;Marmosa demerarae;105
29;Marmosa murina;Marmosa murina;288
29;Marmosa sp.;Marmosa sp.;1
29;Marmosops incanus;Marmosops incanus;115
29;Metachirus nudicaudatus;Metachirus nudicaudatus;13
29;Monodelphis americana;Monodelphis americana;165
29;Nectomys squamipes;Nectomys squamipes;1
29;Oecomys sp.;Oecomys catherinae;4
29;Oligoryzomys sp.;Oligoryzomys sp.;172
29;Phyllomys sp.;Phyllomys sp.;1
29;Rhipidomys mastacalis;Rhipidomys mastacalis;296
29;Sciurus incanus;Sciurus aestuans;1
29;Thaptomys sp.;Thaptomys nigrita;71
30;Akodon cursor;Akodon cursor;49
30;Didelphis aurita;Didelphis aurita;5
30;Gracilinanus sp.;Gracilinanus sp.;10
30;Oryzomys laticeps;Hylaeamys seuanezi;4
30;Marmosa murina;Marmosa murina;4
30;Oligoryzomys sp.;Oligoryzomys sp.;20
30;Oryzomys sp.;Oryzomys sp.;18
30;Rhipidomys mastacalis;Rhipidomys mastacalis;47
30;Thaptomys nigrita;Thaptomys nigrita;4
31;Didelphis aurita;Didelphis aurita;1
31;Gracilinanus sp.;Gracilinanus sp.;4
