SampleID;Latitude;Longitude;Locality;Reference;Sampling_effort;Traps;Study_year;Country;Ecorregion;Vegetation_type;Division;;;;;;;;;;;;;;
27;-14.80600;-39.03900;Ilheus (urban fragment);Ribeiro 2014;617;sherman, wire-mesh;2014;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
28;-14.88335;-39.17500;Fortuna/Pirataquisse;"Laemmert et al. 1946; Vaz 2005";19099;sherman, wire-mesh (2 sizes), guillotine;1943-1945;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
29;-15.17306;-39.13222;Sul da Bahia;Pardini 2004;46656;sherman, pitfall;1998-2000;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
30;-15.20639;-39.16583;Fazenda Jueirana;Moura 1999;3760;sherman, wire-mesh;1997-1998;Brazil;Bahia coastal forest;Savannah/Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
31;-15.24900;-39.07900;Reserva Biológica de Una;Moura 1999;3760;sherman, wire-mesh;1997-1998;Brazil;Bahia coastal forest;Savannah/Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
32;-15.24900;-39.07900;Reserva Biológica de Una;García 2015;4320;sherman, wire-mesh;2013-2014;Brazil;Bahia coastal forest;Savannah/Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
33;-15.24900;-39.07900;Reserva Biológica de Una;García 2015;5040;sherman, wire-mesh, pitfall;2015;Brazil;Bahia coastal forest;Savannah/Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
34;-15.89500;-39.23800;Belmonte e Mascote;García 2015;3600;sherman, wire-mesh;2013-2014;Brazil;Bahia coastal forest;Savannah/Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
35;-15.89500;-39.23800;Belmonte e Mascote;García 2015;4200;sherman, wire-mesh, pitfall;2015;Brazil;Bahia coastal forest;Savannah/Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
36;-18.19708;-43.33108;Parque Estadual do Rio Preto;Nascimento 2009;5760;wire-mesh;2008-2009;Brazil;Bahia interior forest;Savannah;Interior forests;;;;;;;;;;;;;;
37;-18.87472;-40.81389;Monumento Nacional Pontões Capixabas;Pinto et al. 2009b;3180;sherman, wire-mesh, pitfall;2007-2008;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
38;-19.25778;-43.51694;Capão de Mata, Parque Nacional da Serra do Cipó;L. C. Oliveira unpublished data;3200;wire-mesh;2002-2004;Brazil;Campos Rupestres montane savanna;Savannah;Interior forests;;;;;;;;;;;;;;
39;-19.37201;-43.61708;Capão dos Palmitos, Parque Nacional da Serra do Cipó;L. C. Oliveira unpublished data;960;wire-mesh;2002-2003;Brazil;Cerrado;Savannah/Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
40;-19.64167;-42.55000;Parque Estadual do Rio Doce;Stallings et al. 1991;64300;sherman, wire-mesh (2 sizes);1985-1987;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
41;-19.64167;-42.55000;Parque Estadual do Rio Doce;Fonseca & Robinson 1990;19040;sherman, wire-mesh;1985-1986;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
42;-19.64167;-42.55000;Parque Estadual do Rio Doce;Grelle 2003;5880;wire-mesh;1994;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
43;-19.72722;-41.82139;Fazenda Montes Claros;Fonseca & Robinson 1990;19040;sherman, wire-mesh;1985-1986;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
44;-19.88694;-43.37218;Estação de Preservação e Desenvolvimento Ambiental de Peti;Hermann 1991;26880;wire-mesh (2 sizes);1986-1988;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
45;-19.88694;-43.37218;Estação de Preservação e Desenvolvimento Ambiental de Peti;Paglia et al. 2005;5414;not informed;2002-2004;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
